All calculations,POM,SDOM,CHO,TOT,TIS,MIL,ING,MOL,PAU,RIO,ZHO,PASC,DCER,SRAF,SROS,QUEV,ESM,AGOY,MSFO,SOP,PAU_M,MAZ,EGUA,CCS,MLW,JAM,COL_G,AGOY-SFRA_G,MSFO_G,SOP_G,MOL_G,MAZ_G,EGUA_G,CCS_G,MLW_G,ESM_G
"Time in s","Electrical Frequency in Hz","Electrical Frequency in Hz","Electrical Frequency in Hz","Electrical Frequency in Hz","Electrical Frequency in Hz","Electrical Frequency in Hz","Electrical Frequency in Hz","Electrical Frequency in Hz","Electrical Frequency in Hz","Electrical Frequency in Hz","Electrical Frequency in Hz","Electrical Frequency in Hz","Electrical Frequency in Hz","Electrical Frequency in Hz","Electrical Frequency in Hz","Electrical Frequency in Hz","Electrical Frequency in Hz","Electrical Frequency in Hz","Electrical Frequency in Hz","Electrical Frequency in Hz","Electrical Frequency in Hz","Electrical Frequency in Hz","Electrical Frequency in Hz","Electrical Frequency in Hz","Electrical Frequency in Hz","Electrical Frequency in Hz","Speed in p.u.","Speed in p.u.","Speed in p.u.","Speed in p.u.","Speed in p.u.","Speed in p.u.","Speed in p.u.","Speed in p.u.","Speed in p.u.","Speed in p.u."
6.161667,59.764543,59.764541,59.764543,59.764570,59.764542,59.764541,59.764542,59.764551,59.764269,59.764561,59.764546,59.764555,59.764548,59.764534,59.764549,59.764519,59.764766,59.765338,59.764288,59.764691,59.764176,59.764536,59.765370,59.764489,59.763917,59.764540,0.996048,0.996164,0.996053,0.996086,0.996051,0.996075,0.996176,0.996081,0.996032,0.996100
6.171667,59.764452,59.764449,59.764443,59.764473,59.764447,59.764437,59.764452,59.764445,59.764119,59.764459,59.764441,59.764452,59.764445,59.764452,59.764456,59.764423,59.764729,59.765295,59.764196,59.764504,59.764012,59.764425,59.765222,59.764457,59.763821,59.764449,0.996046,0.996169,0.996053,0.996074,0.996046,0.996073,0.996169,0.996083,0.996030,0.996107
6.181667,59.764363,59.764358,59.764345,59.764378,59.764355,59.764336,59.764365,59.764342,59.763974,59.764360,59.764338,59.764351,59.764343,59.764372,59.764365,59.764329,59.764693,59.765246,59.764107,59.764319,59.763854,59.764315,59.765075,59.764425,59.763731,59.764360,0.996044,0.996172,0.996052,0.996063,0.996042,0.996070,0.996162,0.996085,0.996029,0.996113
6.191667,59.764275,59.764269,59.764250,59.764284,59.764264,59.764236,59.764279,59.764240,59.763835,59.764262,59.764237,59.764252,59.764244,59.764293,59.764276,59.764237,59.764656,59.765192,59.764021,59.764137,59.763703,59.764209,59.764927,59.764392,59.763648,59.764273,0.996043,0.996175,0.996051,0.996051,0.996038,0.996068,0.996155,0.996087,0.996029,0.996119
6.201667,59.764189,59.764182,59.764156,59.764192,59.764175,59.764139,59.764194,59.764141,59.763701,59.764167,59.764138,59.764156,59.764147,59.764215,59.764189,59.764147,59.764618,59.765132,59.763938,59.763959,59.763558,59.764105,59.764779,59.764359,59.763570,59.764187,0.996041,0.996177,0.996051,0.996040,0.996034,0.996066,0.996148,0.996089,0.996029,0.996125
6.211667,59.764105,59.764096,59.764064,59.764102,59.764087,59.764043,59.764111,59.764043,59.763573,59.764073,59.764041,59.764061,59.764052,59.764138,59.764102,59.764058,59.764578,59.765066,59.763858,59.763785,59.763421,59.764003,59.764632,59.764324,59.763499,59.764102,0.996040,0.996179,0.996050,0.996029,0.996030,0.996064,0.996140,0.996091,0.996029,0.996131
6.221667,59.764021,59.764011,59.763974,59.764013,59.764001,59.763950,59.764028,59.763948,59.763451,59.763980,59.763946,59.763968,59.763958,59.764061,59.764017,59.763972,59.764538,59.764994,59.763780,59.763616,59.763290,59.763903,59.764485,59.764286,59.763433,59.764018,0.996038,0.996179,0.996050,0.996019,0.996027,0.996061,0.996133,0.996092,0.996029,0.996136
6.231667,59.763938,59.763928,59.763885,59.763925,59.763916,59.763858,59.763947,59.763854,59.763335,59.763889,59.763853,59.763876,59.763866,59.763985,59.763934,59.763887,59.764495,59.764915,59.763705,59.763452,59.763167,59.763806,59.764339,59.764247,59.763373,59.763936,0.996037,0.996178,0.996050,0.996009,0.996024,0.996059,0.996125,0.996093,0.996030,0.996140
6.241667,59.763857,59.763846,59.763798,59.763838,59.763832,59.763768,59.763866,59.763762,59.763225,59.763800,59.763762,59.763787,59.763776,59.763909,59.763851,59.763803,59.764451,59.764831,59.763632,59.763293,59.763051,59.763711,59.764193,59.764204,59.763318,59.763854,0.996036,0.996176,0.996050,0.995999,0.996021,0.996057,0.996117,0.996094,0.996031,0.996145
6.251667,59.763776,59.763765,59.763712,59.763753,59.763749,59.763679,59.763787,59.763671,59.763121,59.763712,59.763673,59.763698,59.763688,59.763834,59.763769,59.763721,59.764404,59.764740,59.763561,59.763140,59.762942,59.763618,59.764048,59.764158,59.763267,59.763773,0.996035,0.996174,0.996050,0.995990,0.996019,0.996055,0.996109,0.996095,0.996032,0.996148
